key,value
5626800,3.019
5630400,2.914
5634000,2.866
5637600,2.877
5641200,2.949
5644800,3.075
5648400,3.248
5652000,3.455
5655600,3.684
5659200,3.919
5662800,4.144
5666400,4.343
5670000,4.504
5673600,4.615
5677200,4.669
5680800,4.662
5684400,4.595
5688000,4.473
5691600,4.304
5695200,4.099
5698800,3.873
5702400,3.642
5706000,3.42
5709600,3.224
5713200,3.067
5716800,2.96
5720400,2.911
5724000,2.923
5727600,2.996
5731200,3.124
5734800,3.3
5738400,3.512
5742000,3.745
5745600,3.984
5749200,4.213
5752800,4.416
5756400,4.58
5760000,4.693
5763600,4.748
5767200,4.741
5770800,4.674
5774400,4.549
5778000,4.377
5781600,4.168
5785200,3.938
5788800,3.702
5792400,3.476
5796000,3.277
5799600,3.117
5803200,3.008
5806800,2.958
5810400,2.97
5814000,3.044
5817600,3.175
5821200,3.355
5824800,3.57
5828400,3.808
5832000,4.052
5835600,4.285
5839200,4.492
5842800,4.659
5846400,4.774
5850000,4.83
5853600,4.823
5857200,4.754
5860800,4.627
5864400,4.452
5868000,4.239
5871600,4.005
5875200,3.765
5878800,3.535
5882400,3.331
5886000,3.169
5889600,3.058
5893200,3.007
5896800,3.019
5900400,3.095
5904000,3.228
5907600,3.411
5911200,3.631
5914800,3.873
5918400,4.121
5922000,4.359
5925600,4.57
5929200,4.74
5932800,4.857
5936400,4.914
5940000,4.907
5943600,4.837
5947200,4.708
5950800,4.529
5954400,4.313
5958000,4.074
5961600,3.829
5965200,3.595
5968800,3.388
5972400,3.222
5976000,3.109
5979600,3.057
5983200,3.07
5986800,3.147
5990400,3.283
5994000,3.469
5997600,3.693
6001200,3.94
6004800,4.193
6008400,4.435
6012000,4.65
6015600,4.823
6019200,4.942
6022800,5.001
6026400,4.994
6030000,4.922
6033600,4.79
6037200,4.608
6040800,4.388
6044400,4.145
6048000,3.895
6051600,3.657
6055200,3.446
6058800,3.277
6062400,3.162
6066000,3.109
6069600,3.122
6073200,3.201
6076800,3.339
6080400,3.529
6084000,3.757
6087600,4.009
6091200,4.266
6094800,4.513
6098400,4.732
6102000,4.908
6105600,5.03
6109200,5.089
6112800,5.082
6116400,5.009
6120000,4.875
6123600,4.69
6127200,4.465
6130800,4.218
6134400,3.964
6138000,3.721
6141600,3.506
6145200,3.334
6148800,3.217
6152400,3.163
6156000,3.177
6159600,3.256
6163200,3.398
6166800,3.591
6170400,3.823
6174000,4.079
6177600,4.342
6181200,4.593
6184800,4.816
6188400,4.995
6192000,5.12
6195600,5.18
6199200,5.173
6202800,5.098
6206400,4.962
6210000,4.773
6213600,4.545
6217200,4.293
6220800,4.034
6224400,3.787
6228000,3.568
6231600,3.393
6235200,3.274
6238800,3.219
6242400,3.233
6246000,3.314
6249600,3.458
6253200,3.654
6256800,3.891
6260400,4.152
6264000,4.419
6267600,4.675
6271200,4.902
6274800,5.085
6278400,5.211
6282000,5.273
6285600,5.266
6289200,5.19
6292800,5.051
6296400,4.859
6300000,4.626
6303600,4.369
6307200,4.106
6310800,3.854
6314400,3.632
6318000,3.453
6321600,3.332
6325200,3.276
6328800,3.29
6332400,3.373
6336000,3.519
6339600,3.72
6343200,3.961
6346800,4.226
